ConsoleKit-devel,pkgconfig(ck-connector)
GConf-dbus-devel,pkgconfig(gconf-2.0)
ImageMagick-c++-devel,pkgconfig(ImageMagick++)
ImageMagick-c++-devel,pkgconfig(Magick++)
ImageMagick-devel,pkgconfig(ImageMagick)
ImageMagick-devel,pkgconfig(MagickCore)
ImageMagick-devel,pkgconfig(MagickWand)
ImageMagick-devel,pkgconfig(Wand)
ORBit2-devel,pkgconfig(ORBit-2.0)
ORBit2-devel,pkgconfig(ORBit-CosNaming-2.0)
ORBit2-devel,pkgconfig(ORBit-idl-2.0)
ORBit2-devel,pkgconfig(ORBit-imodule-2.0)
OpenAL-devel,pkgconfig(openal)
OpenCV-devel,pkgconfig(opencv)
OpenEXR-devel,pkgconfig(OpenEXR)
PackageKit-Qt5-devel,pkgconfig(packagekitqt5)
PackageKit-glib-devel,pkgconfig(packagekit-glib2)
PackageKit-qt-devel,pkgconfig(packagekit-qt)
SDL-devel,pkgconfig(sdl)
SDL2-devel,pkgconfig(sdl2)
SDL2_gfx-devel,pkgconfig(SDL2_gfx)
SDL2_image-devel,pkgconfig(SDL2_image)
SDL2_mixer-devel,pkgconfig(SDL2_mixer)
SDL2_net-devel,pkgconfig(SDL2_net)
SDL2_ttf-devel,pkgconfig(SDL2_ttf)
SDL_Pango-devel,pkgconfig(SDL_Pango)
SDL_gfx-devel,pkgconfig(SDL_gfx)
SDL_image-devel,pkgconfig(SDL_image)
SDL_mixer-devel,pkgconfig(SDL_mixer)
WebKit-gtk-devel,pkgconfig(webkit-1.0)
WiMAX-Network-Service-devel,pkgconfig(libiWmxSdk-0)
aiksaurus-devel,pkgconfig(aiksaurus-1.0)
aiksaurus-devel,pkgconfig(gaiksaurus-1.0)
alsa-lib-devel,pkgconfig(alsa)
alsa-lib-devel,pkgconfig(alsa-topology)
amber-mpris-devel,pkgconfig(ambermpris)
anerley-devel,pkgconfig(anerley)
anjuta-devel,pkgconfig(libanjuta-1.0)
anthy-devel,pkgconfig(anthy)
apr-devel,pkgconfig(apr-1)
apr-util-devel,pkgconfig(apr-util-1)
art-sharp2,pkgconfig(art-sharp-2.0)
aspell-devel,pkgconfig(aspell)
at-spi-devel,pkgconfig(cspi-1.0)
at-spi-devel,pkgconfig(libloginhelper-1.0)
at-spi-devel,pkgconfig(libspi-1.0)
atk-devel,pkgconfig(atk)
attica-devel,pkgconfig(libattica)
audiofile-devel,pkgconfig(audiofile)
audit-libs-devel,pkgconfig(auparse)
augeas-devel,pkgconfig(augeas)
autogen-devel,pkgconfig(autoopts)
autotrace-devel,pkgconfig(autotrace)
avahi-compat-howl-devel,pkgconfig(avahi-compat-howl)
avahi-compat-howl-devel,pkgconfig(howl)
avahi-compat-libdns_sd-devel,pkgconfig(avahi-compat-libdns_sd)
avahi-compat-libdns_sd-devel,pkgconfig(libdns_sd)
avahi-devel,pkgconfig(avahi-client)
avahi-devel,pkgconfig(avahi-core)
avahi-glib-devel,pkgconfig(avahi-glib)
avahi-gobject-devel,pkgconfig(avahi-gobject)
avahi-ui-devel,pkgconfig(avahi-ui)
babl-devel,pkgconfig(babl)
banshee-1-devel,pkgconfig(banshee-1-collection-indexer)
banshee-1-devel,pkgconfig(banshee-1-core)
banshee-1-devel,pkgconfig(banshee-1-hyena)
banshee-1-devel,pkgconfig(banshee-1-hyena-data-sqlite)
banshee-1-devel,pkgconfig(banshee-1-hyena-gui)
banshee-1-devel,pkgconfig(banshee-1-lastfm)
banshee-1-devel,pkgconfig(banshee-1-lastfm-gui)
banshee-1-devel,pkgconfig(banshee-1-mono-media)
banshee-1-devel,pkgconfig(banshee-1-musicbrainz)
banshee-1-devel,pkgconfig(banshee-1-nowplaying)
banshee-1-devel,pkgconfig(banshee-1-services)
banshee-1-devel,pkgconfig(banshee-1-thickclient)
bickley-devel,pkgconfig(bickley-0.4)
bind-devel,pkgconfig(libbind)
bisho-devel,pkgconfig(bisho)
bluez-libs-devel,pkgconfig(bluez)
bluez5-libs-devel,pkgconfig(bluez5)
boardname-devel,pkgconfig(boardname)
bognor-regis-devel,pkgconfig(bognor-regis-0.6)
brasero-devel,pkgconfig(libbrasero-burn)
brasero-devel,pkgconfig(libbrasero-media)
bugle-devel,pkgconfig(bugle)
buteo-sync-plugins-devel,pkgconfig(syncmlcommon)
buteo-sync-plugins-qt5-devel,pkgconfig(syncmlcommon5)
buteo-syncfw-devel,pkgconfig(synccommon)
buteo-syncfw-devel,pkgconfig(syncfwclient)
buteo-syncfw-devel,pkgconfig(syncpluginmgr)
buteo-syncfw-devel,pkgconfig(syncprofile)
buteo-syncfw-qt5-devel,pkgconfig(buteosyncfw5)
buteo-syncml-devel,pkgconfig(meegosyncml)
buteo-syncml-qt5-devel,pkgconfig(buteosyncml5)
c-ares-devel,pkgconfig(libcares)
cairo-devel,pkgconfig(cairo)
cairo-devel,pkgconfig(cairo-egl)
cairo-devel,pkgconfig(cairo-fc)
cairo-devel,pkgconfig(cairo-ft)
cairo-devel,pkgconfig(cairo-gl)
cairo-devel,pkgconfig(cairo-glesv2)
cairo-devel,pkgconfig(cairo-glx)
cairo-devel,pkgconfig(cairo-gobject)
cairo-devel,pkgconfig(cairo-pdf)
cairo-devel,pkgconfig(cairo-png)
cairo-devel,pkgconfig(cairo-ps)
cairo-devel,pkgconfig(cairo-script)
cairo-devel,pkgconfig(cairo-svg)
cairo-devel,pkgconfig(cairo-tee)
cairo-devel,pkgconfig(cairo-xcb)
cairo-devel,pkgconfig(cairo-xcb-shm)
cairo-devel,pkgconfig(cairo-xlib)
cairo-devel,pkgconfig(cairo-xlib-xrender)
cairo-devel,pkgconfig(cairo-xml)
cairo-gobject-devel,pkgconfig(cairo-gobject)
cairomm-devel,pkgconfig(cairomm-1.0)
cairomm-devel,pkgconfig(cairomm-ft-1.0)
cairomm-devel,pkgconfig(cairomm-pdf-1.0)
